"Year","Month","Flat Type","Sale Price"
"2012","2012-01","1 ROOM","490000"
"2012","2012-01","2 ROOM","3828300"
"2012","2012-01","3 ROOM","154659170"
"2012","2012-01","4 ROOM","248248842"
"2012","2012-01","5 ROOM","212869944"
"2012","2012-01","EXECUTIVE","77547852"
"2012","2012-01","MULTI GENERATION","745000"
"2012","2012-02","2 ROOM","3395800"
"2012","2012-02","3 ROOM","157707194"
"2012","2012-02","4 ROOM","281657752"
"2012","2012-02","5 ROOM","200063360"
"2012","2012-02","EXECUTIVE","82929752"
"2012","2012-03","2 ROOM","6674776"
"2012","2012-03","3 ROOM","227400576"
"2012","2012-03","4 ROOM","415073819"
"2012","2012-03","5 ROOM","305414390"
"2012","2012-03","EXECUTIVE","111294628"
"2012","2012-03","MULTI GENERATION","1660000"
"2012","2012-04","2 ROOM","6207388"
"2012","2012-04","3 ROOM","206671518"
"2012","2012-04","4 ROOM","379913988"
"2012","2012-04","5 ROOM","262702189"
"2012","2012-04","EXECUTIVE","118965897"
"2012","2012-04","MULTI GENERATION","720000"
"2012","2012-05","2 ROOM","5004888"
"2012","2012-05","3 ROOM","221655136"
"2012","2012-05","4 ROOM","414728878"
"2012","2012-05","5 ROOM","293427118"
"2012","2012-05","EXECUTIVE","130356436"
"2012","2012-05","MULTI GENERATION","2178000"
"2012","2012-06","1 ROOM","260000"
"2012","2012-06","2 ROOM","5496300"
"2012","2012-06","3 ROOM","192001700"
"2012","2012-06","4 ROOM","334914292"
"2012","2012-06","5 ROOM","259295433"
"2012","2012-06","EXECUTIVE","124030064"
"2012","2012-06","MULTI GENERATION","610000"
"2012","2012-07","1 ROOM","923000"
"2012","2012-07","2 ROOM","5890888"
"2012","2012-07","3 ROOM","211782473"
"2012","2012-07","4 ROOM","370413198"
"2012","2012-07","5 ROOM","288051155"
"2012","2012-07","EXECUTIVE","124302128"
"2012","2012-08","1 ROOM","706500"
"2012","2012-08","2 ROOM","6301100"
"2012","2012-08","3 ROOM","196256703"
"2012","2012-08","4 ROOM","367406633"
"2012","2012-08","5 ROOM","287322103"
"2012","2012-08","EXECUTIVE","113485228"
"2012","2012-09","1 ROOM","926500"
"2012","2012-09","2 ROOM","5932500"
"2012","2012-09","3 ROOM","177412108"
"2012","2012-09","4 ROOM","294099037"
"2012","2012-09","5 ROOM","238427432"
"2012","2012-09","EXECUTIVE","109822076"
"2012","2012-09","MULTI GENERATION","1885000"
"2012","2012-10","2 ROOM","4285500"
"2012","2012-10","3 ROOM","185379092"
"2012","2012-10","4 ROOM","359796908"
"2012","2012-10","5 ROOM","262690725"
"2012","2012-10","EXECUTIVE","106413376"
"2012","2012-11","1 ROOM","487000"
"2012","2012-11","2 ROOM","4430500"
"2012","2012-11","3 ROOM","174457587"
"2012","2012-11","4 ROOM","312415918"
"2012","2012-11","5 ROOM","223128828"
"2012","2012-11","EXECUTIVE","110215340"
"2012","2012-11","MULTI GENERATION","970000"
"2012","2012-12","2 ROOM","4450000"
"2012","2012-12","3 ROOM","155172738"
"2012","2012-12","4 ROOM","259087308"
"2012","2012-12","5 ROOM","196805129"
"2012","2012-12","EXECUTIVE","92562463"
"2012","2012-12","MULTI GENERATION","810000"
"2013","2013-01","1 ROOM","240000"
"2013","2013-01","2 ROOM","6899000"
"2013","2013-01","3 ROOM","166597238"
"2013","2013-01","4 ROOM","270424706"
"2013","2013-01","5 ROOM","237426250"
"2013","2013-01","EXECUTIVE","97165128"
"2013","2013-01","MULTI GENERATION","1500000"
"2013","2013-02","2 ROOM","3657888"
"2013","2013-02","3 ROOM","97242764"
"2013","2013-02","4 ROOM","165543292"
"2013","2013-02","5 ROOM","116952904"
"2013","2013-02","EXECUTIVE","37153888"
"2013","2013-03","2 ROOM","3069000"
"2013","2013-03","3 ROOM","146480833"
"2013","2013-03","4 ROOM","242658081"
"2013","2013-03","5 ROOM","160570896"
"2013","2013-03","EXECUTIVE","68566376"
"2013","2013-03","MULTI GENERATION","726000"
"2013","2013-04","2 ROOM","6539000"
"2013","2013-04","3 ROOM","173320756"
"2013","2013-04","4 ROOM","328206464"
"2013","2013-04","5 ROOM","213974980"
"2013","2013-04","EXECUTIVE","101732558"
"2013","2013-04","MULTI GENERATION","920000"
"2013","2013-05","1 ROOM","238000"
"2013","2013-05","2 ROOM","5151800"
"2013","2013-05","3 ROOM","183546384"
"2013","2013-05","4 ROOM","291497578"
"2013","2013-05","5 ROOM","196275428"
"2013","2013-05","EXECUTIVE","98196052"
"2013","2013-06","1 ROOM","245000"
"2013","2013-06","2 ROOM","5203800"
"2013","2013-06","3 ROOM","144784988"
"2013","2013-06","4 ROOM","245368620"
"2013","2013-06","5 ROOM","171119692"
"2013","2013-06","EXECUTIVE","61619876"
"2013","2013-06","MULTI GENERATION","767000"
"2013","2013-07","2 ROOM","5735890"
"2013","2013-07","3 ROOM","153154526"
"2013","2013-07","4 ROOM","273274048"
"2013","2013-07","5 ROOM","196066130"
"2013","2013-07","EXECUTIVE","82794254"
"2013","2013-08","1 ROOM","257000"
"2013","2013-08","2 ROOM","2849000"
"2013","2013-08","3 ROOM","149594231"
"2013","2013-08","4 ROOM","248278820"
"2013","2013-08","5 ROOM","177260592"
"2013","2013-08","EXECUTIVE","70439952"
"2013","2013-08","MULTI GENERATION","753888"
"2013","2013-09","1 ROOM","230000"
"2013","2013-09","2 ROOM","3988500"
"2013","2013-09","3 ROOM","134757216"
"2013","2013-09","4 ROOM","220349654"
"2013","2013-09","5 ROOM","149102130"
"2013","2013-09","EXECUTIVE","64449716"
"2013","2013-10","1 ROOM","230500"
"2013","2013-10","2 ROOM","6085388"
"2013","2013-10","3 ROOM","153692632"
"2013","2013-10","4 ROOM","242977114"
"2013","2013-10","5 ROOM","176790141"
"2013","2013-10","EXECUTIVE","73023940"
"2013","2013-10","MULTI GENERATION","703000"
"2013","2013-11","2 ROOM","4321000"
"2013","2013-11","3 ROOM","130941340"
"2013","2013-11","4 ROOM","235355775"
"2013","2013-11","5 ROOM","124914929"
"2013","2013-11","EXECUTIVE","66704546"
"2013","2013-12","2 ROOM","4052688"
"2013","2013-12","3 ROOM","107884904"
"2013","2013-12","4 ROOM","190707222"
"2013","2013-12","5 ROOM","113575854"
"2013","2013-12","EXECUTIVE","52392164"
"2014","2014-01","1 ROOM","478500"
"2014","2014-01","2 ROOM","3284500"
"2014","2014-01","3 ROOM","132947316"
"2014","2014-01","4 ROOM","189956255"
"2014","2014-01","5 ROOM","124201517"
"2014","2014-01","EXECUTIVE","46143476"
"2014","2014-02","1 ROOM","473000"
"2014","2014-02","2 ROOM","2870000"
"2014","2014-02","3 ROOM","103920381"
"2014","2014-02","4 ROOM","181769851"
"2014","2014-02","5 ROOM","99050440"
"2014","2014-02","EXECUTIVE","43487163"
"2014","2014-03","2 ROOM","5744000"
"2014","2014-03","3 ROOM","165093168"
"2014","2014-03","4 ROOM","263259737"
"2014","2014-03","5 ROOM","161901016"
"2014","2014-03","EXECUTIVE","50183776"
"2014","2014-03","MULTI GENERATION","730000"
"2014","2014-04","2 ROOM","5308000"
"2014","2014-04","3 ROOM","182091508"
"2014","2014-04","4 ROOM","255760620"
"2014","2014-04","5 ROOM","193810969"
"2014","2014-04","EXECUTIVE","65181240"
"2014","2014-05","1 ROOM","235000"
"2014","2014-05","2 ROOM","4906000"
"2014","2014-05","3 ROOM","153382401"
"2014","2014-05","4 ROOM","269904449"
"2014","2014-05","5 ROOM","157316552"
"2014","2014-05","EXECUTIVE","57564830"
"2014","2014-05","MULTI GENERATION","690000"
"2014","2014-06","1 ROOM","234000"
"2014","2014-06","2 ROOM","3568000"
"2014","2014-06","3 ROOM","134241330"
"2014","2014-06","4 ROOM","213948744"
"2014","2014-06","5 ROOM","144554545"
"2014","2014-06","EXECUTIVE","50324889"
"2014","2014-07","1 ROOM","653000"
"2014","2014-07","2 ROOM","4796500"
"2014","2014-07","3 ROOM","148374348"
"2014","2014-07","4 ROOM","225905462"
"2014","2014-07","5 ROOM","148798901"
"2014","2014-07","EXECUTIVE","65420128"
"2014","2014-08","2 ROOM","2350888"
"2014","2014-08","3 ROOM","131671665"
"2014","2014-08","4 ROOM","239079923"
"2014","2014-08","5 ROOM","165402300"
"2014","2014-08","EXECUTIVE","52151914"
"2014","2014-09","1 ROOM","210000"
"2014","2014-09","2 ROOM","3176000"
"2014","2014-09","3 ROOM","154961633"
"2014","2014-09","4 ROOM","247015707"
"2014","2014-09","5 ROOM","170948144"
"2014","2014-09","EXECUTIVE","64036540"
"2014","2014-09","MULTI GENERATION","686000"
"2014","2014-10","1 ROOM","848000"
"2014","2014-10","2 ROOM","3319000"
"2014","2014-10","3 ROOM","151404968"
"2014","2014-10","4 ROOM","268657582"
"2014","2014-10","5 ROOM","194495656"
"2014","2014-10","EXECUTIVE","62674887"
"2014","2014-11","1 ROOM","430000"
"2014","2014-11","2 ROOM","2693800"
"2014","2014-11","3 ROOM","135581373"
"2014","2014-11","4 ROOM","234517570"
"2014","2014-11","5 ROOM","151761592"
"2014","2014-11","EXECUTIVE","58673297"
"2014","2014-12","1 ROOM","883000"
"2014","2014-12","2 ROOM","3158000"
"2014","2014-12","3 ROOM","124667004"
"2014","2014-12","4 ROOM","227019107"
"2014","2014-12","5 ROOM","146830204"
"2014","2014-12","EXECUTIVE","64186276"
